ایستگاه,تاریخ,SO2 ppb
شریف.منطقه2,1399/01/09,4
شریف.منطقه2,1399/01/10,4
شریف.منطقه2,1399/01/11,4
شریف.منطقه2,1399/01/12,3
شریف.منطقه2,1399/01/13,4
شریف.منطقه2,1399/01/14,3
شریف.منطقه2,1399/01/15,4
شریف.منطقه2,1399/01/16,4
شریف.منطقه2,1399/01/17,3
شریف.منطقه2,1399/01/18,6
شریف.منطقه2,1399/01/19,4
شریف.منطقه2,1399/01/20,4
شریف.منطقه2,1399/01/21,3
شریف.منطقه2,1399/01/22,3
شریف.منطقه2,1399/01/23,4
شریف.منطقه2,1399/01/24,4
شریف.منطقه2,1399/01/25,3
شریف.منطقه2,1399/01/26,4
شریف.منطقه2,1399/01/27,5
شریف.منطقه2,1399/01/28,5
شریف.منطقه2,1399/01/29,4
شریف.منطقه2,1399/01/30,6
شریف.منطقه2,1399/01/31,5
شریف.منطقه2,1399/02/01,5
شریف.منطقه2,1399/02/02,4
شریف.منطقه2,1399/02/03,5
شریف.منطقه2,1399/02/04,5
شریف.منطقه2,1399/02/05,5
شریف.منطقه2,1399/02/06,8
شریف.منطقه2,1399/02/07,4
شریف.منطقه2,1399/02/08,4
شریف.منطقه2,1399/02/09,4
شریف.منطقه2,1399/02/10,3
شریف.منطقه2,1399/02/11,3
شریف.منطقه2,1399/02/12,4
شریف.منطقه2,1399/02/13,5
شریف.منطقه2,1399/02/14,3
شریف.منطقه2,1399/02/15,6
شریف.منطقه2,1399/02/16,6
شریف.منطقه2,1399/02/17,3
شریف.منطقه2,1399/02/18,3
شریف.منطقه2,1399/02/19,3
شریف.منطقه2,1399/02/20,6
شریف.منطقه2,1399/02/21,4
شریف.منطقه2,1399/02/22,3
شریف.منطقه2,1399/02/23,4
شریف.منطقه2,1399/02/24,5
شریف.منطقه2,1399/02/25,5
شریف.منطقه2,1399/02/26,6
شریف.منطقه2,1399/02/27,5
شریف.منطقه2,1399/02/28,7
شریف.منطقه2,1399/02/29,5
شریف.منطقه2,1399/02/30,6
شریف.منطقه2,1399/02/31,3
شریف.منطقه2,1399/03/01,5
شریف.منطقه2,1399/03/02,6
شریف.منطقه2,1399/03/03,6
شریف.منطقه2,1399/03/04,4
شریف.منطقه2,1399/03/05,3
شریف.منطقه2,1399/03/06,5
شریف.منطقه2,1399/03/07,5
شریف.منطقه2,1399/03/08,5
شریف.منطقه2,1399/03/09,5
شریف.منطقه2,1399/03/10,6
شریف.منطقه2,1399/03/11,6
شریف.منطقه2,1399/03/12,6
شریف.منطقه2,1399/03/13,8
شریف.منطقه2,1399/03/14,6
شریف.منطقه2,1399/03/15,4
شریف.منطقه2,1399/03/16,4
شریف.منطقه2,1399/03/17,5
شریف.منطقه2,1399/03/18,4
شریف.منطقه2,1399/03/19,7
شریف.منطقه2,1399/03/20,6
شریف.منطقه2,1399/03/21,5
شریف.منطقه2,1399/03/22,7
شریف.منطقه2,1399/03/23,5
شریف.منطقه2,1399/03/24,6
شریف.منطقه2,1399/03/25,7
شریف.منطقه2,1399/03/26,4
شریف.منطقه2,1399/03/27,6
شریف.منطقه2,1399/03/28,6
شریف.منطقه2,1399/03/29,6
شریف.منطقه2,1399/03/30,4
شریف.منطقه2,1399/03/31,7
شریف.منطقه2,1399/04/01,4
شریف.منطقه2,1399/04/02,5
شریف.منطقه2,1399/04/03,6
شریف.منطقه2,1399/04/04,10
شریف.منطقه2,1399/04/05,6
شریف.منطقه2,1399/04/06,5
شریف.منطقه2,1399/04/07,5
شریف.منطقه2,1399/04/08,6
شریف.منطقه2,1399/04/09,6
شریف.منطقه2,1399/04/10,6
شریف.منطقه2,1399/04/11,6
شریف.منطقه2,1399/04/12,6
شریف.منطقه2,1399/04/13,6
شریف.منطقه2,1399/04/14,7
شریف.منطقه2,1399/04/15,6
شریف.منطقه2,1399/04/16,6
شریف.منطقه2,1399/04/17,6
شریف.منطقه2,1399/04/18,5
