ایستگاه,تاریخ,SO2 ppb
مسعودیه.منطقه15,1398/08/03,3
مسعودیه.منطقه15,1398/08/04,3
مسعودیه.منطقه15,1398/08/05,3
مسعودیه.منطقه15,1398/08/06,3
مسعودیه.منطقه15,1398/08/07,2
مسعودیه.منطقه15,1398/08/08,4
مسعودیه.منطقه15,1398/08/09,5
مسعودیه.منطقه15,1398/08/10,4
مسعودیه.منطقه15,1398/08/11,4
مسعودیه.منطقه15,1398/08/12,4
مسعودیه.منطقه15,1398/08/13,6
مسعودیه.منطقه15,1398/08/14,6
مسعودیه.منطقه15,1398/08/15,5
مسعودیه.منطقه15,1398/08/16,7
مسعودیه.منطقه15,1398/08/17,6
مسعودیه.منطقه15,1398/08/18,7
مسعودیه.منطقه15,1398/08/19,6
مسعودیه.منطقه15,1398/08/20,6
مسعودیه.منطقه15,1398/08/21,6
مسعودیه.منطقه15,1398/08/22,10
مسعودیه.منطقه15,1398/08/23,11
مسعودیه.منطقه15,1398/08/24,4
مسعودیه.منطقه15,1398/08/25,2
مسعودیه.منطقه15,1398/08/26,3
مسعودیه.منطقه15,1398/08/27,2
مسعودیه.منطقه15,1398/08/28,4
مسعودیه.منطقه15,1398/08/29,3
مسعودیه.منطقه15,1398/08/30,4
مسعودیه.منطقه15,1398/09/01,5
مسعودیه.منطقه15,1398/09/02,5
مسعودیه.منطقه15,1398/09/03,5
مسعودیه.منطقه15,1398/09/04,6
مسعودیه.منطقه15,1398/09/05,5
مسعودیه.منطقه15,1398/09/06,6
مسعودیه.منطقه15,1398/09/07,7
مسعودیه.منطقه15,1398/09/08,7
مسعودیه.منطقه15,1398/09/09,9
مسعودیه.منطقه15,1398/09/10,8
مسعودیه.منطقه15,1398/09/11,7
مسعودیه.منطقه15,1398/09/12,4
مسعودیه.منطقه15,1398/09/13,3
مسعودیه.منطقه15,1398/09/14,4
مسعودیه.منطقه15,1398/09/15,4
مسعودیه.منطقه15,1398/09/16,3
مسعودیه.منطقه15,1398/09/17,3
مسعودیه.منطقه15,1398/09/18,4
مسعودیه.منطقه15,1398/09/19,3
مسعودیه.منطقه15,1398/09/20,6
مسعودیه.منطقه15,1398/09/21,6
مسعودیه.منطقه15,1398/09/22,4
مسعودیه.منطقه15,1398/09/23,6
مسعودیه.منطقه15,1398/09/24,8
مسعودیه.منطقه15,1398/09/25,7
مسعودیه.منطقه15,1398/09/26,4
مسعودیه.منطقه15,1398/09/27,4
مسعودیه.منطقه15,1398/09/28,4
مسعودیه.منطقه15,1398/09/29,5
مسعودیه.منطقه15,1398/09/30,7
مسعودیه.منطقه15,1398/10/01,5
مسعودیه.منطقه15,1398/10/02,7
مسعودیه.منطقه15,1398/10/03,5
مسعودیه.منطقه15,1398/10/04,11
مسعودیه.منطقه15,1398/10/05,5
مسعودیه.منطقه15,1398/10/06,6
مسعودیه.منطقه15,1398/10/07,3
