ایستگاه,تاریخ,SO2 ppb
شهرداری.منطقه16,1398/09/22,
شهرداری.منطقه16,1398/09/23,
شهرداری.منطقه16,1398/09/24,
شهرداری.منطقه16,1398/09/25,
شهرداری.منطقه16,1398/09/26,
شهرداری.منطقه16,1398/09/27,
شهرداری.منطقه16,1398/09/28,
شهرداری.منطقه16,1398/09/29,
شهرداری.منطقه16,1398/09/30,
شهرداری.منطقه16,1398/10/01,
شهرداری.منطقه16,1398/10/02,
شهرداری.منطقه16,1398/10/03,
شهرداری.منطقه16,1398/10/04,
شهرداری.منطقه16,1398/10/05,
شهرداری.منطقه16,1398/10/06,
شهرداری.منطقه16,1398/10/07,
شهرداری.منطقه16,1398/10/08,
شهرداری.منطقه16,1398/10/09,
شهرداری.منطقه16,1398/10/10,
شهرداری.منطقه16,1398/10/11,
شهرداری.منطقه16,1398/10/12,
شهرداری.منطقه16,1398/10/13,
شهرداری.منطقه16,1398/10/14,
شهرداری.منطقه16,1398/10/15,
شهرداری.منطقه16,1398/10/16,
شهرداری.منطقه16,1398/10/17,
شهرداری.منطقه16,1398/10/18,
شهرداری.منطقه16,1398/10/19,
شهرداری.منطقه16,1398/10/20,
شهرداری.منطقه16,1398/10/21,
شهرداری.منطقه16,1398/10/22,
شهرداری.منطقه16,1398/10/23,
شهرداری.منطقه16,1398/10/24,
شهرداری.منطقه16,1398/10/25,
شهرداری.منطقه16,1398/10/26,
شهرداری.منطقه16,1398/10/27,
شهرداری.منطقه16,1398/10/28,
شهرداری.منطقه16,1398/10/29,
شهرداری.منطقه16,1398/10/30,
شهرداری.منطقه16,1398/11/01,
شهرداری.منطقه16,1398/11/02,
شهرداری.منطقه16,1398/11/03,
شهرداری.منطقه16,1398/11/04,
شهرداری.منطقه16,1398/11/05,
شهرداری.منطقه16,1398/11/06,
شهرداری.منطقه16,1398/11/07,
شهرداری.منطقه16,1398/11/08,
شهرداری.منطقه16,1398/11/09,
شهرداری.منطقه16,1398/11/10,
شهرداری.منطقه16,1398/11/11,
شهرداری.منطقه16,1398/11/12,
شهرداری.منطقه16,1398/11/13,
شهرداری.منطقه16,1398/11/14,
شهرداری.منطقه16,1398/11/15,
شهرداری.منطقه16,1398/11/16,
شهرداری.منطقه16,1398/11/17,
شهرداری.منطقه16,1398/11/18,
شهرداری.منطقه16,1398/11/19,
شهرداری.منطقه16,1398/11/20,
شهرداری.منطقه16,1398/11/21,
شهرداری.منطقه16,1398/11/22,
شهرداری.منطقه16,1398/11/23,
شهرداری.منطقه16,1398/11/24,
شهرداری.منطقه16,1398/11/25,
شهرداری.منطقه16,1398/11/26,
شهرداری.منطقه16,1398/11/27,
شهرداری.منطقه16,1398/11/28,
شهرداری.منطقه16,1398/11/29,
