ایستگاه,تاریخ,SO2 ppb
پونک,1399/04/28,2
پونک,1399/04/29,3
پونک,1399/04/30,4
پونک,1399/04/31,4
پونک,1399/05/01,2
پونک,1399/05/02,2
پونک,1399/05/03,3
پونک,1399/05/04,2
پونک,1399/05/05,2
پونک,1399/05/06,2
پونک,1399/05/07,9
پونک,1399/05/08,3
پونک,1399/05/09,2
پونک,1399/05/10,3
پونک,1399/05/11,3
پونک,1399/05/12,3
پونک,1399/05/13,3
پونک,1399/05/14,3
پونک,1399/05/15,3
پونک,1399/05/16,3
پونک,1399/05/17,3
پونک,1399/05/18,3
پونک,1399/05/19,3
پونک,1399/05/20,3
پونک,1399/05/21,3
پونک,1399/05/22,3
پونک,1399/05/23,4
پونک,1399/05/24,3
پونک,1399/05/25,4
پونک,1399/05/26,3
پونک,1399/05/27,3
پونک,1399/05/28,2
پونک,1399/05/29,2
پونک,1399/05/30,8
پونک,1399/05/31,3
پونک,1399/06/01,4
پونک,1399/06/02,2
پونک,1399/06/03,3
پونک,1399/06/04,2
پونک,1399/06/05,6
پونک,1399/06/06,9
پونک,1399/06/07,9
پونک,1399/06/08,9
پونک,1399/06/09,7
پونک,1399/06/10,12
پونک,1399/06/11,12
پونک,1399/06/12,14
پونک,1399/06/13,6
پونک,1399/06/14,5
پونک,1399/06/15,2
پونک,1399/06/16,3
پونک,1399/06/17,4
پونک,1399/06/18,4
پونک,1399/06/19,4
پونک,1399/06/20,4
پونک,1399/06/21,4
پونک,1399/06/22,4
پونک,1399/06/23,3
پونک,1399/06/24,3
پونک,1399/06/25,4
پونک,1399/06/26,4
پونک,1399/06/27,6
پونک,1399/06/28,4
پونک,1399/06/29,6
پونک,1399/06/30,3
پونک,1399/06/31,4
پونک,1399/07/01,4
پونک,1399/07/02,5
پونک,1399/07/03,3
پونک,1399/07/04,4
پونک,1399/07/05,3
پونک,1399/07/06,4
پونک,1399/07/07,2
پونک,1399/07/08,3
پونک,1399/07/09,4
پونک,1399/07/10,4
پونک,1399/07/11,4
پونک,1399/07/12,3
پونک,1399/07/13,3
پونک,1399/07/14,2
پونک,1399/07/15,2
پونک,1399/07/16,3
پونک,1399/07/17,2
پونک,1399/07/18,1
پونک,1399/07/19,2
پونک,1399/07/20,3
پونک,1399/07/21,4
پونک,1399/07/22,5
پونک,1399/07/23,3
پونک,1399/07/24,4
پونک,1399/07/25,5
پونک,1399/07/26,4
پونک,1399/07/27,5
پونک,1399/07/28,4
پونک,1399/07/29,3
پونک,1399/07/30,3
پونک,1399/08/01,3
پونک,1399/08/02,4
پونک,1399/08/03,4
پونک,1399/08/04,4
پونک,1399/08/05,4
پونک,1399/08/06,4
پونک,1399/08/07,4
پونک,1399/08/08,3
پونک,1399/08/09,3
پونک,1399/08/10,4
پونک,1399/08/11,3
پونک,1399/08/12,3
پونک,1399/08/13,7
پونک,1399/08/14,6
پونک,1399/08/15,4
پونک,1399/08/16,3
پونک,1399/08/17,3
پونک,1399/08/18,
پونک,1399/08/19,
پونک,1399/08/20,
پونک,1399/08/21,3
پونک,1399/08/22,4
پونک,1399/08/23,3
پونک,1399/08/24,3
پونک,1399/08/25,4
